Artists,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Gorillaz ,Submission,2W4yTO3qHdqyvbz2UxfIPh,0.677,0.83,4,-3.96,1,0.0489,0.00697,0.0,0.134,0.612,137.997
Luke Christopher ,Lot to Learn,3TRFq09DUgYj1mug6RRqJW,0.405,0.846,6,-3.57,1,0.195,0.0948,0.0,0.0666,0.602,82.232
Luke Bryan ,Most People Are Good,79LAFAkR1ATb4iIQvZuCL0,0.586,0.732,8,-6.171,1,0.0279,0.176,0.0,0.148,0.582,150.109
Motörhead ,Ace Of Spades,3CIOopLwvyMvXk97ZEksKO,0.322,0.991,6,-4.453,1,0.213,0.00313,0.0035,0.0708,0.198,140.221
Lil Baby ,Heyy,6qzBOV7lg2pnYm1tIvjxo3,0.494,0.667,7,-4.632,1,0.263,0.00299,0.0,0.0815,0.179,88.028
Banda MS de Sergio Lizárraga ,Qué Maldición,1ovCSSWps8DWQwEDgmGiFp,0.764,0.523,9,-7.661,0,0.143,0.222,0.0,0.1,0.708,177.942
Matthew Koma ,So F**kin' Romantic,05t0KI6zFHDSRT9gdLCAyW,0.659,0.851,8,-3.019,0,0.0506,0.00409,0.047,0.309,0.759,128.023
Lil Nas X ,SCOOP,6bpq1jGkVz66Q3LYeoXdjZ,0.841,0.527,6,-8.116,1,0.149,0.0427,1.54e-06,0.12,0.582,163.975
NAV ,Recap,67LB1vZuG114LqRN8h8bQ2,0.838,0.609,8,-5.161,0,0.0502,0.231,0.0,0.0983,0.6,127.963
The Weeknd ,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021
Taylor Swift ,I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875
Cole Swindell ,She Had Me At Heads Carolina,200x8ONbPfFzByUr3fVz46,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944
Nardo Wick ,Who Want Smoke??,7ACW7VpgoKmfM1sKo15UhX,0.748,0.713,6,-6.399,1,0.355,0.00496,0.0,0.245,0.482,75.591
Quavo ,WORKIN ME,4MAsYGSgxsaj73dC2lvFC4,0.792,0.657,8,-4.245,1,0.191,0.205,4.1e-06,0.196,0.228,169.969
